S No,Website,Active Voice ,Passive Voice,
142,,He scored full marks.,Full marks were scored by him.,
143,,His behavior vexes me.,I am vexed by his behavior.,
144,,Manners reveal a person’s character.,A person’s character is revealed by his/her manners.,
145,,He made a remarkable discovery.,A remarkable discovery was made by him.,
146,,He wrote an interesting story.,An interesting story was written by him.,
147,,Little strokes fell great oaks.,Great oaks are felled by little strokes.,
148,,Everybody loves him.,He is loved by everybody.,
149,https://www.ego4u.com/en/cram-up/grammar/passive/exercises?simple-present,He opens the door.,The door is opened by him.,
150,,We set the table.,The table is set by us.,
151,,She pays a lot of money.,A lot of money is paid by her.,
152,,I draw a picture. ,A picture is drawn by me.,
153,,They wear blue shoes.,Blue shoes are worn by them.,
154,,They don't help you.,You are not helped by them.,
155,,He doesn't open the book.,The book is not opened by him.,
156,,You do not write the letter.,The letter is not written by you.,
157,,Does your mum pick you up?,Are you picked up by your mum?,
158,,Does the police officer catch the thief?,Is the thief caught by the police officer?,
159,,Somebody hit me.,I was hit by somebody.,
160,,We stopped the bus.,The bus was stopped by us.,
161,,A thief stole my car.,My car was stolen by a thief.,
162,,They didn't let him go.,He was not let go by them.,
163,,She didn't win the prize.,The prize was not won by her.,
164,,They didn't make their beds.,Their beds were not made by them.,
165,,I did not tell them.,They were not told by me.,
166,,Did you tell them?,Were they told by you?,
167,,Did he send the letter?,Was the letter sent by him?,
168,,Kerrie has paid the bill.,The bill has been paid by Kerrie.,
169,,I have eaten a hamburger.,A hamburger has been eaten by me.,
170,,We have cycled five miles.,Five miles have been cycled by us.,
171,,I have opened the present. ,The present has been opened by me.,
172,,They have not read the book.,The book has not been read by them.,
173,,You have not sent the parcel.,The parcel has not been sent by you.,
174,,We have not agreed to this issue.,This issue has not been agreed to by us.,
175,,They have not caught the thieves.,The thieves have not been caught by them.,
176,,Has she phoned him?,Has he been phoned by her?,
177,,Have they noticed us?,Have we been noticed by them?,
178,,Jane will buy a new computer. ,A new computer will be bought by Jane.,
179,,Her boyfriend will install it., It will be installed by her boyfriend.,
180,,Millions of people will visit the museum.,The museum will be visited by millions of people.,
181,,Our boss will sign the contract.,The contract will be signed by our boss.,
182,,You will not do it.,It will not be done by you.,
183,,They will not show the new film.,The new film will not be shown by them.,
184,,He won't see Sue.,Sue will not be seen by him.,
185,,They will not ask him.,He will not be asked by them.,
186,,Will the company employ a new worker?,Will a new worker be employed by the company?,
187,,Will the plumber repair the shower?,Will the shower be repaired by the plumber?,
188,,I can answer the question.,The question can be answered by me.,
189,,She would carry the box.,The box would be carried by her.,
190,,You should open the window.,The window should be opened by you.,
191,,We might play cards.,Cards might be played by us.,
192,,You ought to wash the car. ,The car ought to be washed by you.,
193,,He must fill in the form.,The form must be filled in by him.,
194,,They need not buy bread.,Bread need not be bought by them.,
195,,He could not read the sentence.,The sentence could not be read by him.,
196,,Will the teacher test our English?,Will our English be tested by the teacher?,
197,,Could Jenny lock the door? ,Could the door be locked by Jenny?,
198,,John collects money.,Money is collected by John.,
199,,Anna opened the window. ,The window was opened by Anna.,
200,,We have done our homework.,Our homework has been done by us.,
201,,I will ask a question.,A question will be asked by me.,
202,,He can cut out the picture.,The picture can be cut out by him.,
203,,The sheep ate a lot.,A lot was eaten by the sheep.,
204,,We do not clean our rooms. ,Our rooms are not cleaned by us.,
205,,William will not repair the car.,The car will not be repaired by William.,
206,,Did Sue draw this circle?,Was this circle drawn by Sue?,
207,,Could you feed the dog? ,Could the dog be fed by you?,
208,,Sheila is drinking a cup of tea.,A cup of tea is being drunk by Sheila.,
209,,My father is washing the car.,The car is being washed by my father.,
210,,Farmer Joe is milking the cows.,The cows are being milked by farmer Joe.,
211,,She is taking a picture of him.,A picture of him is being taken by her.,
212,,I am writing a poem.,A poem is being written by me.,
213,,We are not playing football.,Football is not being played by us.,
214,,He is not wearing a tie.,A tie is not being worn by him.,
215,,Is she preparing the party? ,Is the party being prepared by her?,
216,,Are they talking about the meeting?,Is the meeting being talked about by them?,
217,,Is she watering the flowers?,Are the flowers being watered by her?,
218,,We were talking about Francis. ,Francis was being talked about by us.,
219,,He was playing the guitar.,The guitar was being played by him.,
220,,She was watching a film.,A film was being watched by her.,
221,,I was repairing their bikes.,Their bikes were being repaired by me.,
222,,They were not eating dinner.,Dinner was not being eaten by them.,
223,,We were not painting the gate.,The gate was not being painted by us.,
224,,You were not driving him home.,He was not being driven home by you.,
225,,He was not feeding the dogs.,The dogs were not being fed by him.,
226,,Was she reading these lines?,Were these lines being read by her?,
227,,Were they carrying bags?, Were bags being carried by them?,
228,,I had worn blue shoes.,Blue shoes had been worn by me.,
229,,Joe had cleaned the tables. ,The tables had been cleaned by Joe.,
230,,We had lost the key.,The key had been lost by us.,
231,,They had started a fight.,A fight had been started by them.,
232,,I had been reading an article. ,An article had been read by me.,
233,,I had not closed the window.,The window had not been closed by me.,
234,,They had not bought the paper.,The paper had not been bought by them.,
235,,She had not noticed me. ,She had not noticed me. ,
236,,Had she solved the problem? ,Had the problem been solved by her?,
237,,Had he recorded that song?,Had that song been recorded by him?,
238,,Frank will have ordered the drinks.,The drinks will have been ordered by Frank.,
239,,You will have spent all the money.,All the money will have been spent by you.,
240,,I will have taken the dog for a walk.,The dog will have been taken for a walk by me.,
241,,She will have sold the car. ,The car will have been sold by her.,
242,,They will have solved the problem.,The problem will have been solved by them.,
243,,She will not have read the book.,The book will not have been read by her.,
244,,They will not have trusted him.,He will not have been trusted by them.,
245,,He won't have rung Barbara.,Barbara will not have been rung by him.,
246,,Will they have paid the bill?,Will the bill have been paid by them?,
247,,Will you have washed my socks?,Will my socks have been washed by you?,
248,,Jenny would congratulate you.,You would be congratulated by Jenny.,
249,,We would pick you up.,You would be picked up by us.,
250,,She would order a pizza. ,A pizza would be ordered by her.,
251,,He would build a new house.,A new house would be built by him.,
252,,They would take the opportunity.,The opportunity would be taken by them.,
253,,You would not recognize Jim.,Jim would not be recognized by you.,
254,,I would not do that kind of job.,That kind of job would not be done by me.,
255,,Would they decorate the room?,Would the room be decorated by them?,
256,,Would the DJ play this song?,Would this song be played by the DJ?,
257,,Would Simon open the window?,Would the window be opened by Simon?,
258,,They would have told you.,You would have been told by them.,
259,,We would have spoken English.,English would have been spoken by us.,
260,,Mario would have bought a paper.,A paper would have been bought by Mario.,
261,,She would have called the police.,The police would have been called by her.,
262,,We would have painted the walls green.,The walls would have been painted green by us.,
263,,She would not have noticed the mistake.,The mistake would not have been noticed by her.,
264,,I would not have given this book away.,This book would not have been given away by me.,
265,,Would my mum have packed the bag?,Would the bag have been packed by my mum?,
266,,Would you have accepted that offer? , Would that offer have been accepted by you?,
267,,Would they have given the right answer?,Would the right answer have been given by them?,
268,,Many people visit Washington.,Washington is visited by many people.,
269,,James Hoban built the White House.,The White House was built by James Hoban.,
270,,Pennsylvania Avenue connects the White House and the Capitol.,The White House and the Capitol are connected by Pennsylvania Avenue.,
271,,"In the Capitol, workers are building a visitors center.","In the Capitol, a visitors center is being built.",
272,,They will probably finish it in 2018.,It will probably be finished in 2018.,
273,https://www.learncbse.in/cbse-class-10-english-grammar-active-passive-voice/,He kills a snake.,A snake is killed by him.,
274,,He killed a snake.,A snake was killed by him.,
275,,She is singing a song. ,A song is being sung by her.,
276,,She was singing a song.,A song was being Sung by her.,
277,,They have watered the plants.,The plants have been watered by them.,
278,,We had helped him.,He had been helped by us.,
279,,I will have beaten him.,He will have been beaten by me.,
280,,He has missed the train.,The train has been missed by him.,
281,,Do they speak French?,Is French spoken by them?,
282,,Was he reading a book?,Was a book being read by him?,
283,,Compose this letter.,Let this letter be composed.,
284,,Where did you buy this pen from?,From where was this pen bought by you?,
285,,Who wrote this speech?,By whom was this speech written?,
286,,One should respect one’s elders.,Elders should be respected.,
287,,I did not praise anybody.,Nobody was praised by me.,
288,,He hurt his leg in an accident.,His leg was hurt in an accident.,
289,,Someone was knocking at the door.,The door was being knocked by someone.,
290,,He was writing a letter.,A letter was being written by him.,
291,,What was she doing?,What was being done by her?,
292,,I was not doing my work.,My work was not being done by me.,
293,,Wasn't she singing a song?,Wasn't a song being sung by her?,
294,,Were the children playing hockey?,Was hockey being played by the children?,
295,,She is waiting for us.,We are being waited by her.,
296,,Is he doing his work?,Is his work being done by him?,
297,,Who is knocking at the door?,By whom is the door being knocked at?,
298,,I shall help him.,He will be helped by me.,
299,,Will you sell this house?,Will this house be sold by you?,
300,,Who will pay the bill?,By whom will the bill be paid?,
301,,You will not disturb me.,I shall not be disturbed by you.,
302,,When will you visit us?,When shall we be visited by you?,
303,,He did not help me.,I was not helped by him.,
304,,I told her a story.,A story was told to her by me.,
305,,What did she buy?,What was bought by her?,
306,,Whom did you meet?,Who was met by you?,
307,,Did you read this novel?,Was this novel read by you?,
308,,He reads a novel.,A novel is read by him.,
309,,He does not obey his teachers.,His teachers are not obeyed by him.,
310,,Why do you waste time?,Why is time wasted by you?,
311,,Who teaches you Physics?,By whom are you taught Physics?,
312,,Which book do you read these days?,Which book is read by you these days?,
313,,Grass grows over the fields.,The fields are overgrown with grass.,
314,,Someone has stolen my pen.,My pen has been stolen.,
315,,People say that he is a rich man.,It is said that he is a rich man.,
316,,It is time to ring the bell.,It is time for the bell to be rung.,
317,,Your behaviour surprises me.,I am surprised at your behaviour.,
318,,Music interests me.,I am interested in music.,
319,,This bottle contains milk.,Milk is contained in this bottle.,
320,,Twelve months make a year.,A year is made of twelve months.,
321,,One must do one's duty.,Duty must be done.,
322,,This mango tastes sweet.,This mango is sweet when tasted.,
323,,The shop is building.,The shop is being built.,
324,,The rose smells sweet.,The rose is sweet when smelt.,
325,,Your shirt needs washing.,Your shirt needs to be washed.,
326,,This medicine tastes bitter.,This medicine is bitter when tasted.,
327,,She objected to my proposal.,My proposal was objected to by her.,
328,,Has he given up smoking?,Has smoking been given up by him?,
329,,She accused him of theft.,He was accused of theft by her.,
330,,We acceded to his request.,His request was acceded to by us.,
331,,You can do this work.,This work can be done by you.,
332,,He may help you.,You may be helped by him.,
333,,She might win the match.,The match might be won by her.,
334,,Could you lend me fifty rupees?,Could fifty rupees be lent to me by you?,
335,,He should respect his elders.,His elders should be respected by him.,
336,,Do you love him?,Is he loved by you?,
337,,Have you taught the boy?,Has the boy been taught by you?,
338,,What do you want?,What is wanted by you?,
339,,Why did she beat the servant?,Why was the servant beaten by her?,
340,,When did you write the letter?,When was the letter written by you?,
341,,Where will you spend your holidays?,Where will your holidays be spent by you?,
342,,How will you cross the river?,How will the river be crossed by you?,
343,,Have you helped him?,Has he been helped by you?,
344,,Will you teach me?,Will I be taught by you?,
345,,Please post this letter.,You are requested to post this letter.,
346,,Shut the door.,You are ordered to shut the door.,
347,,Light the lamp.,Let the lamp be lighted.,
348,,Never give up hope.,Let hope never be given up.,
349,,Never tell a lie.,Let a lie never be told. ,
350,,He will have received the letter before you reach there.,The letter will have been received by him before you reach there.,
351,,She will not have washed the clothes by this time.,The clothes will not have been washed by her by this time.,
352,,Will the gardener have watered plants before 5 p.m.?,Will the plants have been watered by the gardener before 5 p.m.?,
353,,The peon will have locked the gate by 10 p.m.,The main gate will have been locked by the main peon by 10 p.m.,
354,,She had already cooked the food.,The food had already been cooked by him.,
355,,Had he not read this letter?,Had this letter not been read by him?,
356,,Whose team had won the match?,By whose team had the match been won?,
357,,Hadn't he done his homework?,Hadn't his homework been done by him?,
358,,She had received the parcel.,The parcel had been received by her.,
359,,Has he done his work?,Has his work been done by him?,
360,,She has read this book.,This book has been read by her.,
361,,Who has stolen my watch?,By whom has my watch been stolen?,
362,,Have you not solved this sum?,Has this sum not been solved by you?,
363,,He has not helped me.,I have not been helped by him.,
364,https://www.english-grammar.at/worksheets/passive_voice/pv4.pdf,Many people begin new projects in January,New projects are begun in January.,
365,,You must wash that shirt for tonight’s party.,That shirt must be washed for tonight’s party.,
366,,Mum is going to prepare the food.,The food is going to be prepared by mum.,
367,,They make shoes in that factory.,Shoes are made in that factory.,
368,,We will have to examine you again.,You will have to be examined again.,
369,,They had finished preparations by the time the guests arrived.,Preparations had been finished by the time the guests arrived.,
370,,The delegation will meet the visitors at the airport.,The visitors will be met at the airport by the delegation,
371,,We have produced skis here since 1964.,Skis have been produced here since 1964.,
372,,All workers will read the memo.,The memo will be read by all workers.,
373,,Nobody can beat Tiger Woods at golf.,Tiger Woods cannot be beaten at golf.,
374,,They also speak German at EU meetings.,German is also spoken at EU meetings.,
375,,We must look into the question.,The question must be looked into.,
376,,Someone reads the newspaper to him every day.,The newspaper is read to him every day.,
377,,The Chinese discovered acupuncture thousands of years ago.,Acupuncture was discovered by the Chinese thousands of years ago.,
378,,Has he given you back the book yet?,Has the book been given back to you yet?,
379,,The police locked up the criminals.,The criminals were locked up by the police.,
380,,They must have left the keys behind.,The keys must have been left behind.,
381,,The robbers made up the story.,The story was made up by the robbers.,
382,,The boy is eating the cake.,The cake is being eaten by the boy,
383,,Dad promised by a box of chocolates.,I was promised a box of chocolates.,
384,,The spider scared her.,She was scared by the spider.,
385,,The guide will show us the Natural History Museum in the afternoon.,The Natural History Museum will be shown to us in the afternoon.,
386,,The dentist is cleaning the woman’s teeth.,The woman’s teeth are being cleaned by the dentist.,
387,,She showed her relatives the new house.,Her relatives were shown the new house.,
388,,The Browns have built the large house.,The large house has been built by the Browns.,
389,,A jellyfish stung her while she was swimming.,She was stung by a jellyfish while she was swimming.,
390,,They gave her a nice present.,She was given a nice present.,
391,,Jane is singing the new song.,The new song is being sung by Jane.,
392,,The storm destroyed the house.,The house was destroyed by the storm.,
393,,People spent a lot of Monday on the first shopping Saturday.,A lot of money was spent on the first shopping Saturday.,
394,,How do you write that word?,How is that word written?,
395,,She watered the flowers every day.,The flowers were watered every day.,
396,,The headmaster called his parents to the office.,His parents were called to the office by the headmaster.,
397,,Ben will direct the show.,The show will be directed by Ben.,
398,,1The dog has broken the window pane.,The window pane has been broken by the dog.,
399,,1You must pay the bill first.,The bill must be paid first.,
400,,The professor told him not to talk in class.,He was told not to talk in class by the professor.,
401,,You shouldn’t speak to your neighbor.,Your neighbor shouldn’t be spoken to.,
402,,Do not leave your bicycle in the hall.,Bicycles must not be left in the hall.,
403,,Can you learn French easily?,Can French be learned easily?,
404,,Your impolite tone surprises me.,I am surprised by your impolite tone.,
405,,James will repair the car.,The car will be repaired by James.,
406,,An unknown author wrote the book.,The book was written by an unknown author.,
407,,They forced him to steal the money out of his dad’s room.,He was forced to steal the money out of his dad’s room.,
408,,Our neighbors have invited us to dinner.,We have been invited to dinner.,
409,,Why are they tearing down the old theatre?,Why is the old theatre being torn down?,
410,,I will present my ideas at the conference tonight.,My ideas will be presented at the conference tonight.,
411,,She would have told you.,You would have been told.,
412,,One of the cleaners has found my purse.,My purse has been found by one of the cleaners.,
413,,The robber hit him on the head with a hammer.,He was hit on the head with a hammer by the robber.,
414,,The government has built a new road in this area.,A new road has been built in this area by the government.,
415,,The assistant handed me a note.,I was handed a note by the assistant.,
416,,We elected John class representative.,John was elected class representative.,
417,,Someone has taken my wallet.,My wallet has been taken.,
418,,Many people use bicycles as a means of transport.,Bicycles are often used as a means of transport.,
419,,They advised me to get a visa.,I was advised to get a visa.,
420,,They were rebuilding the old road when I drove by.,The old road was being rebuilt when I drove by.,
421,,The local council opened a new shopping centre.,A new shopping centre was opened by the local council.,
422,,They haven’t decided anything yet.,Nothing has been decided yet.,
423,,The crowd was slowly filling the new stadium.,The new stadium was slowly being filled by the crowd.,
424,,Someone has suggested that the shop should close.,It has been suggested that the shop should close.,
425,,Dad used a knife to open the window.,A knife was used to open the window.,
426,,1The waitress will bring you your drinks in a minute,Your drinks will be brought in a minute.,
427,,Nobody ever heard anything of John again.,Nothing was ever heard of John again.,
428,,People asked me the way three times,I was asked the way three times.,
429,,Lots of people had parked their cars on the pavement.,Many cars had been parked on the pavement.,
430,,The helpers have not packed the boxes yet.,The boxes have not yet been packed yet.,
431,,They are still preparing the food.,The food is still being prepared.,
432,,They will launch the new ship next week.,The new ship will be launched next week.,
433,,Christopher Wren built the church in the 17th century.,The church was built by Christopher Wren in the 17th century.,
434,,Beckham scored the goal in the 35th minute.,The goal was scored by Beckham in the 35th minute.,
435,,We serve all main courses with vegetables and salad.,All main courses are served with vegetables and salad.,
436,,Someone pushed Harry over the railing.,Harry was pushed over the railing.,
437,,They introduced me to her husband,I was introduced to her husband.,
438,,Someone sold this old hat to my wife.,This old had was sold to my wife,
439,,They are pushing the car.,The car is being pushed.,
440,,Someone broke into my office.,My office was broken into.,
441,,They were talking about you.,You were being talked about.,
442,,You ought to clean the desk.,The desk ought to be cleaned.,
443,,The headmaster will contact you.,You will be contacted by the headmaster.,
444,,Nobody has given out the news yet.,The news has not been given out yet.,
445,,Didn’t she tell you the truth?,Weren’t you told the truth?,
446,,The thieves had stolen all the gold.,All the gold had been stolen by the thieves.,
447,,The students are using the computers right now.,The computers are being used right now by the students.,
448,,They often mistreat the patients here.,Patients are often mistreated here.,
449,,Edison invented the gramophone.,The gramophone was invented by Edison.,
450,,Everybody admired your last book.,Your last book was admired.,
451,,Someone is knocking at the door.,The door is being knocked at.,
452,,They might take the old man to the hospital.,The old man might be taken to the hospital.,
453,,They could have kicked her out of the restaurant.,She could have been kicked out of the restaurant,
454,,We will have to give them more attention.,They will have to be given more attention.,
455,,The cat ate the sandwich.,The sandwich was eaten by the cat.,
456,,They told us that the water is clean.,We were told that the water is clean.,
457,,Millions of fans will see the final game tomorrow.,The final game will be seen by millions of fans tomorrow.,
458,,They told us to leave the room.,We were told to leave the room,
459,,You should review the lessons before the test.,The lessons should be reviewed before the test.,
460,,The doctors have made the announcements over the loudspeakers.,The announcements have been made by the doctors over the loudspeakers.,
461,,The publishers are reading the book.,The book is being read by the publishers.,
462,https://www.ef.com/english-resources/english-grammar/passive-voice-active-voice/,I keep the butter in the fridge.,The butter is kept in the fridge.,
463,,John is keeping my house tidy.,My house is being kept tidy.,
464,,Mary kept her schedule meticulously.,Mary's schedule was kept meticulously.,
465,,The theater was keeping a seat for you.,A seat was being kept for you.,
466,,I have kept all your old letters.,All your old letters have been kept.,
467,,He had kept up his training regimen for a month.,His training regimen had been kept up for a month.,
468,,Mark will keep the ficus.,The ficus will be kept.,
469,,"If you told me, I would keep your secret.","If you told me, your secret would be kept.",
470,,I would have kept your bicycle here if you had left it with me.,Your bicycle would have been kept here if you had left it with me.,
471,,She wants to keep the book.,The book wants to be kept.,
472,,Judy was happy to have kept the puppy.,The puppy was happy to have been kept.,
473,,I have a feeling that you may be keeping a secret.,I have a feeling that a secret may be being kept.,
474,,"Having kept the bird in a cage for so long, Jade wasn't sure it could survive in the wild.","The bird, having been kept in a cage for so long, might not survive in the wild.",
475,https://www.myenglishteacher.eu/blog/the-passive-voice/   **,People send millions of e-mails every day.,Millions of e-mails are sent every day. ,
476,,People are sending hundreds of e-mails at this very moment.,Hundreds of e-mails are being sent at this very moment.,
477,,Somebody has sent the e-mail.,The e-mail has been sent.,
478,,Ten years ago people sent much fewer e-mails than today.,Ten years ago much fewer e-mails were sent than today.,
479,,Somebody was just sending the e-mail when you called.,The e-mail was just being sent when you called.,
480,,Somebody had already sent the e-mail by the time you called.,The e-mail had been already sent by the time you called.,
481,,Somebody is going to send the e-mail tomorrow.,The e-mail is going to be sent tomorrow.,
482,,I think somebody will send an e-mail to you.,I think an e-mail will be sent to you.,
483,,Somebody will have sent the e-mail by Friday.,The e-mail will have been sent by Friday.,
484,,Somebody must send the e-mail.,The e-mail must be sent.,
